n,eps_cinf,eps_hann,eps_std
167,1.0286417919860387786e-15,3.950067041232081e-07,4.925761371369720e-02
168,8.5094799887716359597e-16,3.891545167261918e-07,4.911072544620587e-02
169,6.9853248338152016695e-16,3.834229991412514e-07,4.896514227902786e-02
170,5.7438020330068347939e-16,3.778089710008229e-07,4.882084498883815e-02
171,4.7592639588532113081e-16,3.723093537904400e-07,4.867781474636913e-02
172,4.0318024591565620471e-16,3.669211670160672e-07,4.853603310608527e-02
173,3.5454559710183824725e-16,3.616415245371500e-07,4.839548199618680e-02
174,3.2513792678108358762e-16,3.564676310563454e-07,4.825614370892960e-02
175,3.1137161921112922995e-16,3.513967787594831e-07,4.811800089124993e-02
176,3.0549091016170390146e-16,3.464263440986272e-07,4.798103653568252e-02
177,3.0467629475136657061e-16,3.415537847100604e-07,4.784523397156129e-02
178,3.0389636761729871459e-16,3.367766364615999e-07,4.771057685649232e-02
179,3.0264467181121842949e-16,3.320925106238468e-07,4.757704916808927e-02
180,2.9888338135484246145e-16,3.274990911583596e-07,4.744463519596166e-02
181,2.9302614300332320270e-16,3.229941321175219e-07,4.731331953394691e-02
182,2.8463616471554456514e-16,3.185754551514993e-07,4.718308707257753e-02
183,2.7415702256550455156e-16,3.142409471169688e-07,4.705392299177504e-02
184,2.6190642071496474458e-16,3.099885577827874e-07,4.692581275376245e-02
185,2.4810009730964763107e-16,3.058162976282134e-07,4.679874209618796e-02
186,2.3338831026197952823e-16,3.017222357298175e-07,4.667269702545205e-02
187,2.1774744595715951556e-16,2.977044977325955e-07,4.654766381023130e-02
188,2.0194126217744764783e-16,2.937612639016681e-07,4.642362897519180e-02
189,1.8576581963140097736e-16,2.898907672513063e-07,4.630057929488580e-02
190,1.6997945428159796655e-16,2.860912917472545e-07,4.617850178782536e-02
191,1.5426652998371169208e-16,2.823611705793949e-07,4.605738371072668e-02
192,1.3931589726707994371e-16,2.786987845017699e-07,4.593721255291978e-02
193,1.2475944198775931485e-16,2.751025602367824e-07,4.581797603091749e-02
194,1.1118503092413805068e-16,2.715709689406450e-07,4.569966208313878e-02
195,9.8217553686095175882e-17,2.681025247279755e-07,4.558225886478099e-02
196,8.6332483195976468988e-17,2.646957832526865e-07,4.546575474283625e-02
197,7.5180334184558214383e-17,2.613493403423129e-07,4.535013829124711e-02
198,6.5125221002369658941e-17,2.580618306839531e-07,4.523539828619706e-02
199,5.5865775605131601638e-17,2.548319265598153e-07,4.512152370153117e-02
200,4.7663404932798400044e-17,2.516583366299635e-07,4.500850370430305e-02
201,4.0280567822376176231e-17,2.485398047600769e-07,4.489632765044368e-02
202,3.3889115314697051731e-17,2.454751088927891e-07,4.478498508054834e-02
203,2.8326902184483899125e-17,2.424630599604863e-07,4.467446571577786e-02
204,2.3689917135920647049e-17,2.395025008378858e-07,4.456475945387051e-02
205,1.9894018503756807878e-17,2.365923053329957e-07,4.445585636526100e-02
206,1.6957541984254997481e-17,2.337313772144616e-07,4.434774668930327e-02
207,1.4835578103333173720e-17,2.309186492740158e-07,4.424042083059370e-02
208,1.3421136408150201971e-17,2.281530824229548e-07,4.413386935539176e-02
209,1.2621102247101343915e-17,2.254336648205653e-07,4.402808298813488e-02
210,1.2208461033352646193e-17,2.227594110336830e-07,4.392305260804474e-02
211,1.2075221885146909586e-17,2.201293612260057e-07,4.381876924582218e-02
212,1.2028448008274614488e-17,2.175425803759523e-07,4.371522408042788e-02
213,1.2025699351449034926e-17,2.149981575222406e-07,4.361240843594630e-02
214,1.1967971994939152069e-17,2.124952050353900e-07,4.351031377853037e-02
215,1.1858159011088952887e-17,2.100328579147345e-07,4.340893171342432e-02
216,1.1660043070227274025e-17,2.076102731099991e-07,4.330825398206254e-02
217,1.1388303346429871268e-17,2.052266288659066e-07,4.320827245924196e-02
218,1.1039552874595223921e-17,2.028811240893153e-07,4.310897915036586e-02
219,1.0625547721144609739e-17,2.005729777381038e-07,4.301036618875710e-02
220,1.0159225411781389439e-17,1.983014282307007e-07,4.291242583303840e-02
221,9.6456117331511955482e-18,1.960657328756238e-07,4.281515046457807e-02
222,9.1051870703283594041e-18,1.938651673202889e-07,4.271853258499899e-02
223,8.5365667521375260390e-18,1.916990250182966e-07,4.262256481374917e-02
224,7.9628670279779988823e-18,1.895666167140326e-07,4.252723988573195e-02
225,7.3778524400250947388e-18,1.874672699450589e-07,4.243255064899430e-02
226,6.8044403027665762894e-18,1.854003285610534e-07,4.233849006247131e-02
227,6.2332653424657929745e-18,1.833651522578213e-07,4.224505119378552e-02
228,5.6854239407448717188e-18,1.813611161269914e-07,4.215222721709931e-02
229,5.1499314600650936125e-18,1.793876102205469e-07,4.206001141101899e-02
230,4.6451999222172038727e-18,1.774440391293198e-07,4.196839715654899e-02
231,4.1598262945074314723e-18,1.755298215751690e-07,4.187737793509490e-02
232,3.7091655690881835571e-18,1.736443900165719e-07,4.178694732651386e-02
233,3.2822959282800902671e-18,1.717871902664818e-07,4.169709900721098e-02
234,2.8914624119401932849e-18,1.699576811223005e-07,4.160782674828065e-02
235,2.5268734761405529829e-18,1.681553340080831e-07,4.151912441369134e-02
236,2.1978180771141305698e-18,1.663796326278929e-07,4.143098595851272e-02
237,1.8961016413688499070e-18,1.646300726299946e-07,4.134340542718404e-02
238,1.6283434423426800496e-18,1.629061612816986e-07,4.125637695182251e-02
239,1.3882995658649965843e-18,1.612074171542809e-07,4.116989475057069e-02
240,1.1802772794113237944e-18,1.595333698177507e-07,4.108395312598179e-02
241,1.0002353615445510358e-18,1.578835595451568e-07,4.099854646344180e-02
242,8.5043868693245790904e-19,1.562575370260265e-07,4.091366922962763e-02
243,7.2888649739694145174e-19,1.546548630885669e-07,4.082931597100004e-02
244,6.3539107859617754246e-19,1.530751084302799e-07,4.074548131233073e-02
245,5.6842805740000370351e-19,1.515178533570209e-07,4.066215995526243e-02
246,5.2385729365295260701e-19,1.499826875298926e-07,4.057934667690128e-02
247,4.9849069800081667096e-19,1.484692097197377e-07,4.049703632844045e-02
248,4.8518523542525119043e-19,1.469770275691214e-07,4.041522383381454e-02
249,4.8066686219680138639e-19,1.455057573613418e-07,4.033390418838353e-02
250,4.7905560250298561019e-19,1.440550237965111e-07,4.025307245764585e-02
251,4.7900571985739937930e-19,1.426244597742832e-07,4.017272377597955e-02
252,4.7732903371691438812e-19,1.412137061829144e-07,4.009285334541113e-02
253,4.7403773674439834463e-19,1.398224116945980e-07,4.001345643441102e-02
254,4.6782088719132312799e-19,1.384502325668131e-07,3.993452837671523e-02
255,4.5911892190117425557e-19,1.370968324496700e-07,3.985606457017247e-02
256,4.4766526957314489744e-19,1.357618821986304e-07,3.977806047561598e-02
257,4.3386993262553619369e-19,1.344450596928467e-07,3.970051161575964e-02
258,4.1802076581173135153e-19,1.331460496587300e-07,3.962341357411751e-02
259,4.0034901205034459571e-19,1.318645434984985e-07,3.954676199394647e-02
260,3.8142448891817482515e-19,1.306002391238426e-07,3.947055257721111e-02
261,3.6128452738101926481e-19,1.293528407943041e-07,3.939478108357058e-02
262,3.4062332139777011358e-19,1.281220589602112e-07,3.931944332938664e-02
263,3.1931692987695177935e-19,1.269076101099337e-07,3.924453518675255e-02
264,2.9808915381248627760e-19,1.257092166219042e-07,3.917005258254212e-02
265,2.7669980973463214145e-19,1.245266066204714e-07,3.909599149747858e-02
266,2.5584470623486117443e-19,1.233595138357281e-07,3.902234796522278e-02
267,2.3521095540647694179e-19,1.222076774675202e-07,3.894911807147998e-02
268,2.1543235199791389804e-19,1.210708420532377e-07,3.887629795312526e-02
269,1.9616043623986995539e-19,1.199487573391462e-07,3.880388379734660e-02
270,1.7794860457122626170e-19,1.188411781551413e-07,3.873187184080561e-02
271,1.6044242511862504927e-19,1.177478642934002e-07,3.866025836881516e-02
272,1.4410709071532456568e-19,1.166685803900152e-07,3.858903971453374e-02
273,1.2860476511654082158e-19,1.156030958099470e-07,3.851821225817609e-02
274,1.1431180259909375189e-19,1.145511845352556e-07,3.844777242623958e-02
275,1.0092371664137849646e-19,1.135126250561879e-07,3.837771669074621e-02
276,8.8732220119985100168e-20,1.124872002652509e-07,3.830804156849961e-02
277,7.7478664162978423186e-20,1.114746973541882e-07,3.823874362035691e-02
278,6.7377559245597882341e-20,1.104749077138442e-07,3.816981945051495e-02
279,5.8225886046666626434e-20,1.094876268364827e-07,3.810126570581059e-02
280,5.0170288432802059855e-20,1.085126542208754e-07,3.803307907503484e-02
281,4.3070911066085582788e-20,1.075497932798898e-07,3.796525628826034e-02
282,3.7014564004618452171e-20,1.065988512504495e-07,3.789779411618199e-02
283,3.1924159588852170188e-20,1.056596391059282e-07,3.783068936947048e-02
284,2.7821529262196635677e-20,1.047319714708507e-07,3.776393889813825e-02
285,2.4662297663500640519e-20,1.038156665379064e-07,3.769753959091773e-02
286,2.2366196610365933302e-20,1.029105459870030e-07,3.763148837465161e-02
287,2.0854440020274067600e-20,1.020164349064716e-07,3.756578221369469e-02
288,1.9926985883116732617e-20,1.011331617165246e-07,3.750041810932727e-02
289,1.9467405447461726236e-20,1.002605580943577e-07,3.743539309917968e-02
290,1.9255074708217505758e-20,9.939845890115520e-08,3.737070425666764e-02
291,1.9212020307302225948e-20,9.854670211142982e-08,3.730634869043852e-02
292,1.9189120688618769856e-20,9.770512874384349e-08,3.724232354382778e-02
293,1.9164330091189619489e-20,9.687358279378882e-08,3.717862599432582e-02
294,1.9061068206579133930e-20,9.605191116776316e-08,3.711525325305470e-02
295,1.8886439891505682545e-20,9.523996361930690e-08,3.705220256425469e-02
296,1.8610100233676958907e-20,9.443759268672371e-08,3.698947120478035e-02
297,1.8246704436750746788e-20,9.364465363234632e-08,3.692705648360591e-02
298,1.7792264049628457621e-20,9.286100438319490e-08,3.686495574133982e-02
299,1.7259132527590082207e-20,9.208650547315683e-08,3.680316634974829e-02
300,1.6657944704209107573e-20,9.132101998672638e-08,3.674168571128746e-02
301,1.5995582133624396879e-20,9.056441350399665e-08,3.668051125864422e-02
302,1.5290458600050858993e-20,8.981655404699229e-08,3.661964045428533e-02
303,1.4543756455617266721e-20,8.907731202766914e-08,3.655907079001481e-02
304,1.3777517519347011837e-20,8.834656019671825e-08,3.649879978653929e-02
305,1.2988122203663900245e-20,8.762417359388375e-08,3.643882499304118e-02
306,1.2198637261248586073e-20,8.691002949960677e-08,3.637914398675959e-02
307,1.1401861785445868944e-20,8.620400738746680e-08,3.631975437257873e-02
308,1.0620238207770885706e-20,8.550598887812326e-08,3.626065378262362e-02
309,9.8441897702797443600e-21,8.481585769428242e-08,3.620183987586311e-02
310,9.0945103923587610762e-21,8.413349961673819e-08,3.614331033771983e-02
311,8.3603053765493696960e-21,8.345880244143112e-08,3.608506287968714e-02
312,7.6601228637343563178e-21,8.279165593744150e-08,3.602709523895275e-02
313,6.9826212170515718224e-21,8.213195180625659e-08,3.596940517802907e-02
314,6.3438033670383161229e-21,8.147958364194173e-08,3.591199048438991e-02
315,5.7325682795930819116e-21,8.083444689203643e-08,3.585484897011364e-02
